col_a,col_b,sub_a,sub_b,role_a,role_b,metric,effect_size,p,n_valid,p_adj
MaskingType-Investigator,Placebo Comparator Arm Number,MaskingType-Investigator,Placebo Comparator Arm Number,num,num,abs_spearman,0.674977004792241,0.0,77947,0.0
dropout_rate,execution_pass,dropout_rate,execution_pass,num,num,abs_spearman,0.671473757834261,0.0,38302,0.0
dropout_rate,execution_fail,dropout_rate,execution_fail,num,num,abs_spearman,0.671473757834261,0.0,38302,0.0
Drug intervention Number,intervention/intervention_name,Drug intervention Number,intervention/intervention_name__n_items,num,num,abs_spearman,0.6680168455263753,0.0,81786,0.0
mortality_rate,sae_rate,mortality_rate,sae_rate,num,num,abs_spearman,0.6662095727015791,0.0,17916,0.0
MaskingType-Care Provider,MaskingType-Outcomes Assessor,MaskingType-Care Provider,MaskingType-Outcomes Assessor,num,num,abs_spearman,0.6563041314002565,0.0,81170,0.0
MaskingType-Care Provider,MaskingType-Participant,MaskingType-Care Provider,MaskingType-Participant,num,num,abs_spearman,0.6377727569654749,0.0,81170,0.0
Device intervention Number,oversight_info/is_fda_regulated_device,Device intervention Number,oversight_info/is_fda_regulated_device,num,cat,eta,0.6373475660536253,0.0,11258,0.0
MaskingType-Care Provider,MaskingType-Investigator,MaskingType-Care Provider,MaskingType-Investigator,num,num,abs_spearman,0.6337683415332017,0.0,81170,0.0
mortality_YN,sae_rate,mortality_YN,sae_rate,num,num,abs_spearman,0.6317855214152107,0.0,17916,0.0
Placebo Comparator Arm Number,study_design_info/masking,Placebo Comparator Arm Number,study_design_info/masking,num,cat,eta,0.616487331296671,0.0,72860,0.0
intervention/intervention_type,location/facility/address/city,intervention/intervention_type__n_items,location/facility/address/city__n_items,num,num,abs_spearman,0.5663054036129986,0.0,81786,0.0
study_design_info/allocation,study_design_info/intervention_model,study_design_info/allocation,study_design_info/intervention_model,cat,cat,cramers_v,0.5542697509846467,0.0,61697,0.0
MaskingType-Outcomes Assessor,MaskingType-Participant,MaskingType-Outcomes Assessor,MaskingType-Participant,num,num,abs_spearman,0.5539152791145695,0.0,81170,0.0
intervention_browse/mesh_term,smiless,intervention_browse/mesh_term__n_items,smiless__n_items,num,num,abs_spearman,0.5496119577362584,0.0,81786,0.0
MaskingType-Investigator,MaskingType-Outcomes Assessor,MaskingType-Investigator,MaskingType-Outcomes Assessor,num,num,abs_spearman,0.5467713348094406,0.0,81170,0.0
condition,icdcode,condition__n_items,icdcode__n_items,num,num,abs_spearman,0.5313699830990467,0.0,81786,0.0
MaskingType-Participant,study_design_info/intervention_model,MaskingType-Participant,study_design_info/intervention_model,num,cat,eta,0.5117178929430304,0.0,80702,0.0
Drug intervention Number,smiless,Drug intervention Number,smiless__n_items,num,num,abs_spearman,0.5102563686481479,0.0,81786,0.0
study_design_info/intervention_model,study_design_info/masking_num,study_design_info/intervention_model,study_design_info/masking_num,cat,num,eta,0.5079508343930723,0.0,80702,0.0
MaskingType-Care Provider,Placebo Comparator Arm Number,MaskingType-Care Provider,Placebo Comparator Arm Number,num,num,abs_spearman,0.4936400488890549,0.0,77947,0.0
study_design_info/allocation,study_design_info/masking,study_design_info/allocation,study_design_info/masking,cat,cat,cramers_v,0.487650335852425,0.0,56864,0.0
Experimental Arm Number,number_of_arms,Experimental Arm Number,number_of_arms,num,num,abs_spearman,0.4876215997784874,0.0,78123,0.0
mortality_YN,sae_YN,mortality_YN,sae_YN,num,num,abs_spearman,0.4797047320347148,0.0,17916,0.0
MaskingType-Investigator,study_design_info/intervention_model,MaskingType-Investigator,study_design_info/intervention_model,num,cat,eta,0.47881708871585416,0.0,80702,0.0
location/facility/address/city,sae_YN,location/facility/address/city__n_items,sae_YN,num,num,abs_spearman,0.4773435341411532,0.0,17916,0.0
eligibility/maximum_age,eligibility/minimum_age,eligibility/maximum_age__years,eligibility/minimum_age__years,num,num,abs_spearman,0.4648468117347087,0.0,41854,0.0
approval_outcome,intervention/intervention_type,approval_outcome,intervention/intervention_type__n_items,num,num,abs_spearman,0.46379871549781176,0.0,30683,0.0
ipd_info_type-Clinical Study Report (CSR),sponsors/lead_sponsor/agency_class,ipd_info_type-Clinical Study Report (CSR),sponsors/lead_sponsor/agency_class,num,cat,eta,0.46184587778080494,4.958884880252225e-111,2145,2.5068906513045333e-110
enrollment,location/facility/address/city,enrollment,location/facility/address/city__n_items,num,num,abs_spearman,0.45636420909802383,0.0,44446,0.0
mortality_rate,sae_YN,mortality_rate,sae_YN,num,num,abs_spearman,0.4555402067962152,0.0,17916,0.0
eligibility/healthy_volunteers,study_design_info/primary_purpose,eligibility/healthy_volunteers,study_design_info/primary_purpose,cat,cat,cramers_v,0.45547510369910016,0.0,80843,0.0
number_of_arms,study_design_info/intervention_model,number_of_arms,study_design_info/intervention_model,num,cat,eta,0.45110292258538903,0.0,77887,0.0
number_of_arms,study_design_info/masking_num,number_of_arms,study_design_info/masking_num,num,num,abs_spearman,0.4457379625344704,0.0,77947,0.0
MaskingType-Participant,number_of_arms,MaskingType-Participant,number_of_arms,num,num,abs_spearman,0.44261137283468815,0.0,77947,0.0
Drug intervention Number,intervention_browse/mesh_term,Drug intervention Number,intervention_browse/mesh_term__n_items,num,num,abs_spearman,0.44214266712462574,0.0,81786,0.0
intervention/intervention_name,number_of_arms,intervention/intervention_name__n_items,number_of_arms,num,num,abs_spearman,0.43966474708079145,0.0,78123,0.0
MaskingType-Participant,study_design_info/allocation,MaskingType-Participant,study_design_info/allocation,num,cat,eta,0.43614374264250183,0.0,61818,0.0
ipd_info_type-Statistical Analysis Plan (SAP),sponsors/lead_sponsor/agency_class,ipd_info_type-Statistical Analysis Plan (SAP),sponsors/lead_sponsor/agency_class,num,cat,eta,0.43332537319615455,3.2808248506357726e-96,2145,1.4689819376270082e-95
study_design_info/allocation,study_design_info/masking_num,study_design_info/allocation,study_design_info/masking_num,cat,num,eta,0.4299774975538647,0.0,61818,0.0
duration_year,sae_rate,duration_year,sae_rate,num,num,abs_spearman,0.4296366106843445,0.0,13278,0.0
duration_day,sae_rate,duration_day,sae_rate,num,num,abs_spearman,0.4296366106843445,0.0,13278,0.0
duration_month,sae_rate,duration_month,sae_rate,num,num,abs_spearman,0.42940881560407335,0.0,13278,0.0
duration_month,start_date,duration_month,start_date__days,num,num,abs_spearman,0.4255818880049514,0.0,42855,0.0
duration_year,start_date,duration_year,start_date__days,num,num,abs_spearman,0.4246978427475128,0.0,42855,0.0
duration_day,start_date,duration_day,start_date__days,num,num,abs_spearman,0.4246978427475128,0.0,42855,0.0
responsible_party/responsible_party_type,sponsors/lead_sponsor/agency_class,responsible_party/responsible_party_type,sponsors/lead_sponsor/agency_class,cat,cat,cramers_v,0.4196667514694662,0.0,67878,0.0
MaskingType-Investigator,number_of_arms,MaskingType-Investigator,number_of_arms,num,num,abs_spearman,0.418680367279781,0.0,77947,0.0
MaskingType-Outcomes Assessor,Placebo Comparator Arm Number,MaskingType-Outcomes Assessor,Placebo Comparator Arm Number,num,num,abs_spearman,0.4116558170070593,0.0,77947,0.0
eligibility/healthy_volunteers,phase,eligibility/healthy_volunteers,phase,cat,cat,cramers_v,0.4111786253703832,0.0,81613,0.0
condition,condition_browse/mesh_term,condition__n_items,condition_browse/mesh_term__n_items,num,num,abs_spearman,0.4084947033817551,0.0,81786,0.0
MaskingType-Investigator,study_design_info/allocation,MaskingType-Investigator,study_design_info/allocation,num,cat,eta,0.40536846514652436,0.0,61818,0.0
Active Comparator Arm Number,Experimental Arm Number,Active Comparator Arm Number,Experimental Arm Number,num,num,abs_spearman,0.40440943182741834,0.0,69293,0.0
intervention/intervention_name,intervention_browse/mesh_term,intervention/intervention_name__n_items,intervention_browse/mesh_term__n_items,num,num,abs_spearman,0.3940154717120666,0.0,81786,0.0
execution_pass,location/facility/address/city,execution_pass,location/facility/address/city__n_items,num,num,abs_spearman,0.3927563972104891,0.0,52772,0.0
execution_fail,location/facility/address/city,execution_fail,location/facility/address/city__n_items,num,num,abs_spearman,0.3927563972104891,0.0,52772,0.0
Biological intervention Number,Drug intervention Number,Biological intervention Number,Drug intervention Number,num,num,abs_spearman,0.3856577953620117,0.0,81786,0.0
duration_day,mortality_rate,duration_day,mortality_rate,num,num,abs_spearman,0.37749357220239244,0.0,13278,0.0
duration_year,mortality_rate,duration_year,mortality_rate,num,num,abs_spearman,0.37749357220239244,0.0,13278,0.0
duration_month,mortality_rate,duration_month,mortality_rate,num,num,abs_spearman,0.3773138550033733,0.0,13278,0.0
execution_pass,intervention/intervention_type,execution_pass,intervention/intervention_type__n_items,num,num,abs_spearman,0.37674280171261726,0.0,52772,0.0
execution_fail,intervention/intervention_type,execution_fail,intervention/intervention_type__n_items,num,num,abs_spearman,0.37674280171261726,0.0,52772,0.0
intervention/intervention_name,smiless,intervention/intervention_name__n_items,smiless__n_items,num,num,abs_spearman,0.3709687470956256,0.0,81786,0.0
location/facility/address/city,sae_rate,location/facility/address/city__n_items,sae_rate,num,num,abs_spearman,0.370820057353205,0.0,17916,0.0
phase,sae_YN,phase,sae_YN,cat,num,eta,0.36482618915345716,0.0,17916,0.0
dropout_YN,enrollment,dropout_YN,enrollment,num,num,abs_spearman,0.3640034517285119,0.0,38301,0.0
approval_outcome,location/facility/address/city,approval_outcome,location/facility/address/city__n_items,num,num,abs_spearman,0.35963223725018645,0.0,30683,0.0
duration_day,mortality_YN,duration_day,mortality_YN,num,num,abs_spearman,0.35939540356045296,0.0,13278,0.0
duration_year,mortality_YN,duration_year,mortality_YN,num,num,abs_spearman,0.35939540356045296,0.0,13278,0.0
duration_month,mortality_YN,duration_month,mortality_YN,num,num,abs_spearman,0.35920045161325975,0.0,13278,0.0
enrollment,sae_YN,enrollment,sae_YN,num,num,abs_spearman,0.3550777753774905,0.0,17881,0.0
Placebo Comparator Arm Number,number_of_arms,Placebo Comparator Arm Number,number_of_arms,num,num,abs_spearman,0.35199441372157464,0.0,78123,0.0
MaskingType-Outcomes Assessor,study_design_info/intervention_model,MaskingType-Outcomes Assessor,study_design_info/intervention_model,num,cat,eta,0.3516853072390615,0.0,80702,0.0
duration_month,eligibility/healthy_volunteers,duration_month,eligibility/healthy_volunteers,num,cat,eta,0.3513383366772956,0.0,42833,0.0
duration_day,eligibility/healthy_volunteers,duration_day,eligibility/healthy_volunteers,num,cat,eta,0.35122717405954357,0.0,42833,0.0
duration_year,eligibility/healthy_volunteers,duration_year,eligibility/healthy_volunteers,num,cat,eta,0.3512271740595435,0.0,42833,0.0
enrollment,number_of_arms,enrollment,number_of_arms,num,num,abs_spearman,0.35040897730736553,0.0,43117,0.0
MaskingType-Care Provider,study_design_info/intervention_model,MaskingType-Care Provider,study_design_info/intervention_model,num,cat,eta,0.3446331841606706,0.0,80702,0.0
dropout_rate,sae_rate,dropout_rate,sae_rate,num,num,abs_spearman,0.3422333697566937,0.0,17873,0.0
Placebo Comparator Arm Number,study_design_info/intervention_model,Placebo Comparator Arm Number,study_design_info/intervention_model,num,cat,eta,0.3409486372065081,0.0,77887,0.0
Active Comparator Arm Number,study_design_info/intervention_model,Active Comparator Arm Number,study_design_info/intervention_model,num,cat,eta,0.3375649309351036,0.0,69093,0.0
approval_outcome,completion_date,approval_outcome,completion_date__days,num,num,abs_spearman,0.3327819491890332,2.3177933818742575e-238,9263,1.9725056691635375e-237
eligibility/healthy_volunteers,ipd_info_type-Informed Consent Form (ICF),eligibility/healthy_volunteers,ipd_info_type-Informed Consent Form (ICF),cat,num,eta,0.3323714961971145,1.7310002482198863e-56,2145,5.892514543597832e-56
Biological intervention Number,study_design_info/primary_purpose,Biological intervention Number,study_design_info/primary_purpose,num,cat,eta,0.3296200962644175,0.0,80983,0.0
Drug intervention Number,number_of_arms,Drug intervention Number,number_of_arms,num,num,abs_spearman,0.3227853987512021,0.0,78123,0.0
patient_data/sharing_ipd,sponsors/lead_sponsor/agency_class,patient_data/sharing_ipd,sponsors/lead_sponsor/agency_class,cat,cat,cramers_v,0.31941938584110113,0.0,13510,0.0
location/facility/address/city,mortality_YN,location/facility/address/city__n_items,mortality_YN,num,num,abs_spearman,0.3182298698923259,0.0,17916,0.0
ipd_info_type-Clinical Study Report (CSR),responsible_party/responsible_party_type,ipd_info_type-Clinical Study Report (CSR),responsible_party/responsible_party_type,num,cat,eta,0.31541059865072857,2.9187255960732457e-49,2136,9.358752395150988e-49
sae_rate,study_design_info/masking,sae_rate,study_design_info/masking,num,cat,eta,0.31303866680186354,0.0,17890,0.0
duration_year,sae_YN,duration_year,sae_YN,num,num,abs_spearman,0.31255645066763194,9.814523611608333e-299,13278,9.639956986105418e-298
duration_day,sae_YN,duration_day,sae_YN,num,num,abs_spearman,0.31255645066763194,9.814523611608333e-299,13278,9.639956986105418e-298
duration_month,sae_YN,duration_month,sae_YN,num,num,abs_spearman,0.3122539343344227,3.945698402541201e-298,13278,3.860260051305073e-297
eligibility/healthy_volunteers,sae_YN,eligibility/healthy_volunteers,sae_YN,cat,num,eta,0.30941504611442544,0.0,17914,0.0
enrollment,execution_pass,enrollment,execution_pass,num,num,abs_spearman,0.30836600265734165,0.0,38306,0.0
enrollment,execution_fail,enrollment,execution_fail,num,num,abs_spearman,0.30836600265734165,0.0,38306,0.0
enrollment,study_design_info/masking_num,enrollment,study_design_info/masking_num,num,num,abs_spearman,0.30320891799173616,0.0,44289,0.0
eligibility/maximum_age,ipd_info_type-Informed Consent Form (ICF),eligibility/maximum_age__years,ipd_info_type-Informed Consent Form (ICF),num,num,abs_spearman,0.29656725038753906,1.9396266494307837e-22,1034,4.62569311308589e-22
approval_outcome,start_date,approval_outcome,start_date__days,num,num,abs_spearman,0.295568772044077,4.095471394180341e-186,9263,2.8995004030023213e-185
approval_outcome,biology_pass,approval_outcome,biology_pass,num,num,abs_spearman,0.2954673549063098,0.0,27420,0.0
approval_outcome,biology_fail,approval_outcome,biology_fail,num,num,abs_spearman,0.2954673549063098,0.0,27420,0.0
number_of_arms,study_design_info/masking,number_of_arms,study_design_info/masking,num,cat,eta,0.29267938302324803,0.0,72860,0.0
eligibility/healthy_volunteers,study_design_info/intervention_model,eligibility/healthy_volunteers,study_design_info/intervention_model,cat,cat,cramers_v,0.29261232670934473,0.0,80743,0.0
dropout_rate,sae_YN,dropout_rate,sae_YN,num,num,abs_spearman,0.29061030576746494,0.0,17873,0.0
dropout_YN,sae_YN,dropout_YN,sae_YN,num,num,abs_spearman,0.2895536523554362,0.0,17873,0.0
condition_browse/mesh_term,icdcode,condition_browse/mesh_term__n_items,icdcode__n_items,num,num,abs_spearman,0.28941727347128166,0.0,81786,0.0
dropout_YN,location/facility/address/city,dropout_YN,location/facility/address/city__n_items,num,num,abs_spearman,0.2891613871949741,0.0,38302,0.0
approval_outcome,enrollment,approval_outcome,enrollment,num,num,abs_spearman,0.2878310333964533,0.0,20273,0.0
MaskingType-Investigator,enrollment,MaskingType-Investigator,enrollment,num,num,abs_spearman,0.28717372059377244,0.0,44289,0.0
sae_YN,sponsors/lead_sponsor/agency_class,sae_YN,sponsors/lead_sponsor/agency_class,num,cat,eta,0.28716498750809805,0.0,17916,0.0
duration_month,sponsors/lead_sponsor/agency_class,duration_month,sponsors/lead_sponsor/agency_class,num,cat,eta,0.2820631693456023,0.0,42855,0.0
study_design_info/intervention_model,study_design_info/masking,study_design_info/intervention_model,study_design_info/masking,cat,cat,cramers_v,0.2820622559032678,0.0,74651,0.0
duration_year,sponsors/lead_sponsor/agency_class,duration_year,sponsors/lead_sponsor/agency_class,num,cat,eta,0.28161947161896494,0.0,42855,0.0
duration_day,sponsors/lead_sponsor/agency_class,duration_day,sponsors/lead_sponsor/agency_class,num,cat,eta,0.2816194716189649,0.0,42855,0.0
sae_YN,study_design_info/primary_purpose,sae_YN,study_design_info/primary_purpose,num,cat,eta,0.28003320186103436,2.01321974710423e-310,17911,2.01727865788468e-309
eligibility/maximum_age,ipd_info_type-Clinical Study Report (CSR),eligibility/maximum_age__years,ipd_info_type-Clinical Study Report (CSR),num,num,abs_spearman,0.279825360050365,4.6879339455741263e-20,1034,1.086708568540271e-19
MaskingType-Participant,intervention/intervention_name,MaskingType-Participant,intervention/intervention_name__n_items,num,num,abs_spearman,0.27943289424014006,0.0,81170,0.0
mortality_rate,study_design_info/masking,mortality_rate,study_design_info/masking,num,cat,eta,0.27881740265483573,1.2747021373108972e-297,17890,1.2422097298892468e-296
MaskingType-Participant,enrollment,MaskingType-Participant,enrollment,num,num,abs_spearman,0.27870810318434314,0.0,44289,0.0
Experimental Arm Number,phase,Experimental Arm Number,phase,num,cat,eta,0.2785293094558895,0.0,78123,0.0
Active Comparator Arm Number,number_of_arms,Active Comparator Arm Number,number_of_arms,num,num,abs_spearman,0.27802436840911865,0.0,69293,0.0
MaskingType-Care Provider,number_of_arms,MaskingType-Care Provider,number_of_arms,num,num,abs_spearman,0.27800177436812407,0.0,77947,0.0
MaskingType-Outcomes Assessor,number_of_arms,MaskingType-Outcomes Assessor,number_of_arms,num,num,abs_spearman,0.2770299758311552,0.0,77947,0.0
condition_browse/mesh_term,duration_year,condition_browse/mesh_term__n_items,duration_year,num,num,abs_spearman,0.276061630299402,0.0,42855,0.0
condition_browse/mesh_term,duration_day,condition_browse/mesh_term__n_items,duration_day,num,num,abs_spearman,0.276061630299402,0.0,42855,0.0
condition_browse/mesh_term,duration_month,condition_browse/mesh_term__n_items,duration_month,num,num,abs_spearman,0.27599135337740716,0.0,42855,0.0
approval_outcome,sponsors/lead_sponsor/agency_class,approval_outcome,sponsors/lead_sponsor/agency_class,num,cat,eta,0.27512188978581187,0.0,24108,0.0
dropout_rate,mortality_rate,dropout_rate,mortality_rate,num,num,abs_spearman,0.27507015486051367,1.0247647879948302e-307,17873,1.0227070273763666e-306
location/facility/address/city,phase,location/facility/address/city__n_items,phase,num,cat,eta,0.27443123633575744,0.0,81786,0.0
MaskingType-Investigator,intervention/intervention_name,MaskingType-Investigator,intervention/intervention_name__n_items,num,num,abs_spearman,0.27135896156330475,0.0,81170,0.0
sae_rate,study_design_info/intervention_model,sae_rate,study_design_info/intervention_model,num,cat,eta,0.2706282427613628,9.278927435057626e-293,17857,8.902754701203939e-292
MaskingType-Care Provider,study_design_info/allocation,MaskingType-Care Provider,study_design_info/allocation,num,cat,eta,0.26921916477529895,0.0,61818,0.0
execution_fail,sae_YN,execution_fail,sae_YN,num,num,abs_spearman,0.2688998924708745,3.953310894471148e-294,17903,3.807743245256125e-293
execution_pass,sae_YN,execution_pass,sae_YN,num,num,abs_spearman,0.2688998924708745,3.953310894471148e-294,17903,3.807743245256125e-293
dropout_rate,location/facility/address/city,dropout_rate,location/facility/address/city__n_items,num,num,abs_spearman,0.26848237263855323,0.0,38302,0.0
MaskingType-Outcomes Assessor,study_design_info/allocation,MaskingType-Outcomes Assessor,study_design_info/allocation,num,cat,eta,0.2682015428250736,0.0,61818,0.0
dropout_rate,mortality_YN,dropout_rate,mortality_YN,num,num,abs_spearman,0.2662886704939511,8.550073225050361e-288,17873,8.140586959482816e-287
intervention/intervention_name,study_design_info/masking_num,intervention/intervention_name__n_items,study_design_info/masking_num,num,num,abs_spearman,0.2652131708299188,0.0,81170,0.0
location/facility/address/city,mortality_rate,location/facility/address/city__n_items,mortality_rate,num,num,abs_spearman,0.26476075607619615,4.3946188928934195e-285,17916,4.1523300185703986e-284
execution_fail,phase,execution_fail,phase,num,cat,eta,0.2614598068636698,0.0,52772,0.0
execution_pass,phase,execution_pass,phase,num,cat,eta,0.2614598068636698,0.0,52772,0.0
Placebo Comparator Arm Number,study_design_info/allocation,Placebo Comparator Arm Number,study_design_info/allocation,num,cat,eta,0.26141596257059657,0.0,59269,0.0
oversight_info/has_dmc,sponsors/lead_sponsor/agency_class,oversight_info/has_dmc,sponsors/lead_sponsor/agency_class,cat,cat,cramers_v,0.2608507780139772,0.0,37612,0.0
eligibility/healthy_volunteers,sae_rate,eligibility/healthy_volunteers,sae_rate,cat,num,eta,0.2606490265311274,5.093041484235535e-276,17914,4.7224657045989945e-275
responsible_party/responsible_party_type,sae_YN,responsible_party/responsible_party_type,sae_YN,cat,num,eta,0.260125921514745,5.346693752398624e-273,17899,4.939231960858952e-272
sae_rate,start_date,sae_rate,start_date__days,num,num,abs_spearman,0.2571793751634862,1.4332272238417123e-199,13278,1.0475204856607808e-198
duration_year,location/facility/address/city,duration_year,location/facility/address/city__n_items,num,num,abs_spearman,0.25619160507529715,0.0,42855,0.0
duration_day,location/facility/address/city,duration_day,location/facility/address/city__n_items,num,num,abs_spearman,0.25619160507529715,0.0,42855,0.0
eligibility/healthy_volunteers,mortality_YN,eligibility/healthy_volunteers,mortality_YN,cat,num,eta,0.2560031051480013,5.230889067767796e-266,17914,4.726821575782899e-265
duration_month,location/facility/address/city,duration_month,location/facility/address/city__n_items,num,num,abs_spearman,0.2553040339024456,0.0,42855,0.0
eligibility/maximum_age,mortality_rate,eligibility/maximum_age__years,mortality_rate,num,num,abs_spearman,0.25276153729742623,3.179324352747693e-127,8723,1.7288010977194786e-126
dropout_rate,duration_day,dropout_rate,duration_day,num,num,abs_spearman,0.25224257944833317,5.070170475130149e-233,16162,4.242213343669502e-232
dropout_rate,duration_year,dropout_rate,duration_year,num,num,abs_spearman,0.25224257944833317,5.070170475130149e-233,16162,4.242213343669502e-232
dropout_rate,duration_month,dropout_rate,duration_month,num,num,abs_spearman,0.2519472998225265,1.834039476253532e-232,16162,1.5264506132639814e-231
dropout_YN,phase,dropout_YN,phase,num,cat,eta,0.25190834714908955,0.0,38302,0.0
patient_data/sharing_ipd,sae_YN,patient_data/sharing_ipd,sae_YN,cat,num,eta,0.2508821828286865,5.103912693734171e-141,9941,2.9564622480021947e-140
Experimental Arm Number,study_design_info/intervention_model,Experimental Arm Number,study_design_info/intervention_model,num,cat,eta,0.25011325050695526,0.0,77887,0.0
phase,study_design_info/allocation,phase,study_design_info/allocation,cat,cat,cramers_v,0.24969575093771076,0.0,62081,0.0
Drug intervention Number,MaskingType-Investigator,Drug intervention Number,MaskingType-Investigator,num,num,abs_spearman,0.24965038408794044,0.0,81170,0.0
enrollment,mortality_YN,enrollment,mortality_YN,num,num,abs_spearman,0.24913830218236224,3.953023161879487e-251,17881,3.471117511403012e-250
duration_month,study_design_info/intervention_model,duration_month,study_design_info/intervention_model,num,cat,eta,0.24901155925265636,0.0,42592,0.0
duration_year,study_design_info/intervention_model,duration_year,study_design_info/intervention_model,num,cat,eta,0.24895996180137664,0.0,42592,0.0
duration_day,study_design_info/intervention_model,duration_day,study_design_info/intervention_model,num,cat,eta,0.24895996180137653,0.0,42592,0.0
approval_outcome,patient_data/sharing_ipd,approval_outcome,patient_data/sharing_ipd,num,cat,eta,0.2484163525863915,5.779079588537339e-64,4575,2.1181434775096296e-63
Experimental Arm Number,sponsors/lead_sponsor/agency_class,Experimental Arm Number,sponsors/lead_sponsor/agency_class,num,cat,eta,0.24674164285841424,0.0,69293,0.0
phase,study_design_info/intervention_model,phase,study_design_info/intervention_model,cat,cat,cramers_v,0.24452587161230052,0.0,80897,0.0
ipd_info_type-Informed Consent Form (ICF),location/facility/address/city,ipd_info_type-Informed Consent Form (ICF),location/facility/address/city__n_items,num,num,abs_spearman,0.24444868951669735,1.4884954150987551e-30,2145,3.947610572593817e-30
Biological intervention Number,ipd_info_type-Informed Consent Form (ICF),Biological intervention Number,ipd_info_type-Informed Consent Form (ICF),num,num,abs_spearman,0.2444207120520241,1.5120480841843421e-30,2145,4.0057990289958315e-30
ipd_info_type-Statistical Analysis Plan (SAP),ipd_info_type-Study Protocol,ipd_info_type-Statistical Analysis Plan (SAP),ipd_info_type-Study Protocol,num,num,abs_spearman,0.24236223569922014,4.635717042010508e-32,2297,1.2535099944935922e-31
eligibility/maximum_age,mortality_YN,eligibility/maximum_age__years,mortality_YN,num,num,abs_spearman,0.24214389146141949,1.3225961724532926e-116,8723,6.804661466969839e-116
failure_reason,sae_YN,failure_reason,sae_YN,cat,num,eta,0.24026875703572873,6.067367788836977e-41,3199,1.79066614670545e-40
dropout_YN,study_design_info/intervention_model,dropout_YN,study_design_info/intervention_model,num,cat,eta,0.2401314822922434,0.0,38137,0.0
mortality_YN,phase,mortality_YN,phase,num,cat,eta,0.23750720556398858,3.676729356558858e-225,17916,2.995630311819266e-224
