col_a,col_b,metric,effect_size,p,p_adj,n_valid,via_feat_a,via_feat_b
Device intervention Number,oversight_info/is_fda_regulated_device,eta,0.6373475660536253,0.0,0.0,11258,Device intervention Number,oversight_info/is_fda_regulated_device
MaskingType-Care Provider,MaskingType-Investigator,abs_spearman,0.6337683415332017,0.0,0.0,81170,MaskingType-Care Provider,MaskingType-Investigator
mortality_YN,sae_rate,abs_spearman,0.6317855214152107,0.0,0.0,17916,sae_rate,mortality_YN
Placebo Comparator Arm Number,study_design_info/masking,eta,0.616487331296671,0.0,0.0,72860,Placebo Comparator Arm Number,study_design_info/masking
study_design_info/allocation,study_design_info/intervention_model,cramers_v,0.5542697509846467,0.0,0.0,61697,study_design_info/allocation,study_design_info/intervention_model
MaskingType-Outcomes Assessor,MaskingType-Participant,abs_spearman,0.5539152791145695,0.0,0.0,81170,MaskingType-Outcomes Assessor,MaskingType-Participant
intervention_browse/mesh_term,smiless,abs_spearman,0.5496119577362584,0.0,0.0,81786,intervention_browse/mesh_term__n_items,smiless__n_items
MaskingType-Investigator,MaskingType-Outcomes Assessor,abs_spearman,0.5467713348094406,0.0,0.0,81170,MaskingType-Investigator,MaskingType-Outcomes Assessor
condition,icdcode,abs_spearman,0.5313699830990467,0.0,0.0,81786,condition__n_items,icdcode__n_items
MaskingType-Participant,study_design_info/intervention_model,eta,0.5117178929430304,0.0,0.0,80702,MaskingType-Participant,study_design_info/intervention_model
Drug intervention Number,smiless,abs_spearman,0.5102563686481479,0.0,0.0,81786,Drug intervention Number,smiless__n_items
study_design_info/intervention_model,study_design_info/masking_num,eta,0.5079508343930723,0.0,0.0,80702,study_design_info/intervention_model,study_design_info/masking_num
MaskingType-Care Provider,Placebo Comparator Arm Number,abs_spearman,0.4936400488890549,0.0,0.0,77947,MaskingType-Care Provider,Placebo Comparator Arm Number
study_design_info/allocation,study_design_info/masking,cramers_v,0.487650335852425,0.0,0.0,56864,study_design_info/allocation,study_design_info/masking
Experimental Arm Number,number_of_arms,abs_spearman,0.4876215997784874,0.0,0.0,78123,Experimental Arm Number,number_of_arms
mortality_YN,sae_YN,abs_spearman,0.4797047320347148,0.0,0.0,17916,sae_YN,mortality_YN
MaskingType-Investigator,study_design_info/intervention_model,eta,0.47881708871585416,0.0,0.0,80702,MaskingType-Investigator,study_design_info/intervention_model
location/facility/address/city,sae_YN,abs_spearman,0.4773435341411532,0.0,0.0,17916,location/facility/address/city__n_items,sae_YN
approval_outcome,intervention/intervention_type,abs_spearman,0.4677537533819053,0.0,0.0,30683,intervention/intervention_type__is_nn,approval_outcome
intervention/intervention_type,regulatory_pass,abs_spearman,0.4677537533819053,0.0,0.0,30683,intervention/intervention_type__is_nn,regulatory_pass
eligibility/maximum_age,eligibility/minimum_age,abs_spearman,0.4648468117347087,0.0,0.0,41854,eligibility/maximum_age__years,eligibility/minimum_age__years
ipd_info_type-Clinical Study Report (CSR),sponsors/lead_sponsor/agency_class,eta,0.46184587778080494,4.958884880252225e-111,2.786366630500522e-110,2145,ipd_info_type-Clinical Study Report (CSR),sponsors/lead_sponsor/agency_class
enrollment,location/facility/address/city,abs_spearman,0.45636420909802383,0.0,0.0,44446,enrollment,location/facility/address/city__n_items
mortality_rate,sae_YN,abs_spearman,0.4555402067962152,0.0,0.0,17916,sae_YN,mortality_rate
eligibility/healthy_volunteers,study_design_info/primary_purpose,cramers_v,0.45547510369910016,0.0,0.0,80843,eligibility/healthy_volunteers,study_design_info/primary_purpose
number_of_arms,study_design_info/intervention_model,eta,0.45110292258538903,0.0,0.0,77887,number_of_arms,study_design_info/intervention_model
number_of_arms,study_design_info/masking_num,abs_spearman,0.4457379625344704,0.0,0.0,77947,number_of_arms,study_design_info/masking_num
MaskingType-Participant,number_of_arms,abs_spearman,0.44261137283468815,0.0,0.0,77947,MaskingType-Participant,number_of_arms
Drug intervention Number,intervention_browse/mesh_term,abs_spearman,0.44214266712462574,0.0,0.0,81786,Drug intervention Number,intervention_browse/mesh_term__n_items
intervention/intervention_name,number_of_arms,abs_spearman,0.43966474708079145,0.0,0.0,78123,intervention/intervention_name__n_items,number_of_arms
MaskingType-Participant,study_design_info/allocation,eta,0.43614374264250183,0.0,0.0,61818,MaskingType-Participant,study_design_info/allocation
ipd_info_type-Statistical Analysis Plan (SAP),sponsors/lead_sponsor/agency_class,eta,0.43332537319615455,3.2808248506357726e-96,1.6333619421145142e-95,2145,ipd_info_type-Statistical Analysis Plan (SAP),sponsors/lead_sponsor/agency_class
study_design_info/allocation,study_design_info/masking_num,eta,0.4299774975538647,0.0,0.0,61818,study_design_info/allocation,study_design_info/masking_num
duration_year,sae_rate,abs_spearman,0.4296366106843445,0.0,0.0,13278,duration_year,sae_rate
duration_day,sae_rate,abs_spearman,0.4296366106843445,0.0,0.0,13278,duration_day,sae_rate
duration_month,sae_rate,abs_spearman,0.42940881560407335,0.0,0.0,13278,duration_month,sae_rate
duration_month,start_date,abs_spearman,0.4255818880049514,0.0,0.0,42855,start_date__days,duration_month
duration_day,start_date,abs_spearman,0.4246978427475128,0.0,0.0,42855,start_date__days,duration_day
duration_year,start_date,abs_spearman,0.4246978427475128,0.0,0.0,42855,start_date__days,duration_year
responsible_party/responsible_party_type,sponsors/lead_sponsor/agency_class,cramers_v,0.4196667514694662,0.0,0.0,67878,responsible_party/responsible_party_type,sponsors/lead_sponsor/agency_class
MaskingType-Investigator,number_of_arms,abs_spearman,0.418680367279781,0.0,0.0,77947,MaskingType-Investigator,number_of_arms
MaskingType-Outcomes Assessor,Placebo Comparator Arm Number,abs_spearman,0.4116558170070593,0.0,0.0,77947,MaskingType-Outcomes Assessor,Placebo Comparator Arm Number
eligibility/healthy_volunteers,phase,cramers_v,0.4111786253703832,0.0,0.0,81613,eligibility/healthy_volunteers,phase
condition,condition_browse/mesh_term,abs_spearman,0.4084947033817551,0.0,0.0,81786,condition__n_items,condition_browse/mesh_term__n_items
MaskingType-Investigator,study_design_info/allocation,eta,0.40536846514652436,0.0,0.0,61818,MaskingType-Investigator,study_design_info/allocation
Active Comparator Arm Number,Experimental Arm Number,abs_spearman,0.40440943182741834,0.0,0.0,69293,Active Comparator Arm Number,Experimental Arm Number
completion_date,intervention/intervention_type,abs_spearman,0.4040951956918027,0.0,0.0,81786,intervention/intervention_type__is_nn,completion_date__is_nn
intervention/intervention_type,start_date,abs_spearman,0.4040951956918027,0.0,0.0,81786,intervention/intervention_type__is_nn,start_date__is_nn
condition_browse/mesh_term,eligibility/healthy_volunteers,eta,0.39888532509687163,0.0,0.0,81613,condition_browse/mesh_term__is_nn,eligibility/healthy_volunteers
intervention/intervention_name,intervention_browse/mesh_term,abs_spearman,0.3940154717120666,0.0,0.0,81786,intervention/intervention_name__n_items,intervention_browse/mesh_term__n_items
execution_pass,location/facility/address/city,abs_spearman,0.3927563972104891,0.0,0.0,52772,location/facility/address/city__n_items,execution_pass
execution_fail,location/facility/address/city,abs_spearman,0.3927563972104891,0.0,0.0,52772,location/facility/address/city__n_items,execution_fail
Biological intervention Number,Drug intervention Number,abs_spearman,0.3856577953620117,0.0,0.0,81786,Biological intervention Number,Drug intervention Number
execution_pass,intervention/intervention_type,abs_spearman,0.37834363024465284,0.0,0.0,52772,intervention/intervention_type__is_nn,execution_pass
execution_fail,intervention/intervention_type,abs_spearman,0.37834363024465284,0.0,0.0,52772,intervention/intervention_type__is_nn,execution_fail
duration_year,mortality_rate,abs_spearman,0.37749357220239244,0.0,0.0,13278,duration_year,mortality_rate
duration_day,mortality_rate,abs_spearman,0.37749357220239244,0.0,0.0,13278,duration_day,mortality_rate
duration_month,mortality_rate,abs_spearman,0.3773138550033733,0.0,0.0,13278,duration_month,mortality_rate
approval_outcome,location/facility/address/city,abs_spearman,0.3732346835555133,0.0,0.0,30683,location/facility/address/city__is_nn,approval_outcome
location/facility/address/city,regulatory_pass,abs_spearman,0.3732346835555133,0.0,0.0,30683,location/facility/address/city__is_nn,regulatory_pass
intervention/intervention_name,smiless,abs_spearman,0.3709687470956256,0.0,0.0,81786,intervention/intervention_name__n_items,smiless__n_items
location/facility/address/city,sae_rate,abs_spearman,0.370820057353205,0.0,0.0,17916,location/facility/address/city__n_items,sae_rate
phase,sae_YN,eta,0.36482618915345716,0.0,0.0,17916,phase,sae_YN
dropout_YN,enrollment,abs_spearman,0.3640034517285119,0.0,0.0,38301,enrollment,dropout_YN
duration_day,mortality_YN,abs_spearman,0.35939540356045296,0.0,0.0,13278,duration_day,mortality_YN
duration_year,mortality_YN,abs_spearman,0.35939540356045296,0.0,0.0,13278,duration_year,mortality_YN
duration_month,mortality_YN,abs_spearman,0.35920045161325975,0.0,0.0,13278,duration_month,mortality_YN
enrollment,sae_YN,abs_spearman,0.3550777753774905,0.0,0.0,17881,enrollment,sae_YN
completion_date,location/facility/address/city,abs_spearman,0.352687046377185,0.0,0.0,81786,location/facility/address/city__is_nn,completion_date__is_nn
location/facility/address/city,start_date,abs_spearman,0.352687046377185,0.0,0.0,81786,location/facility/address/city__is_nn,start_date__is_nn
Placebo Comparator Arm Number,number_of_arms,abs_spearman,0.35199441372157464,0.0,0.0,78123,Placebo Comparator Arm Number,number_of_arms
MaskingType-Outcomes Assessor,study_design_info/intervention_model,eta,0.3516853072390615,0.0,0.0,80702,MaskingType-Outcomes Assessor,study_design_info/intervention_model
duration_month,eligibility/healthy_volunteers,eta,0.3513383366772956,0.0,0.0,42833,eligibility/healthy_volunteers,duration_month
duration_day,eligibility/healthy_volunteers,eta,0.35122717405954357,0.0,0.0,42833,eligibility/healthy_volunteers,duration_day
duration_year,eligibility/healthy_volunteers,eta,0.3512271740595435,0.0,0.0,42833,eligibility/healthy_volunteers,duration_year
enrollment,number_of_arms,abs_spearman,0.35040897730736553,0.0,0.0,43117,enrollment,number_of_arms
MaskingType-Care Provider,study_design_info/intervention_model,eta,0.3446331841606706,0.0,0.0,80702,MaskingType-Care Provider,study_design_info/intervention_model
dropout_rate,sae_rate,abs_spearman,0.3422333697566937,0.0,0.0,17873,dropout_rate,sae_rate
Placebo Comparator Arm Number,study_design_info/intervention_model,eta,0.3409486372065081,0.0,0.0,77887,Placebo Comparator Arm Number,study_design_info/intervention_model
Active Comparator Arm Number,study_design_info/intervention_model,eta,0.3375649309351036,0.0,0.0,69093,Active Comparator Arm Number,study_design_info/intervention_model
approval_outcome,completion_date,abs_spearman,0.3327819491890332,2.3177933818742575e-238,2.2127285719816058e-237,9263,completion_date__days,approval_outcome
completion_date,regulatory_pass,abs_spearman,0.3327819491890332,2.3177933818742575e-238,2.2127285719816058e-237,9263,completion_date__days,regulatory_pass
eligibility/healthy_volunteers,ipd_info_type-Informed Consent Form (ICF),eta,0.3323714961971145,1.7310002482198863e-56,6.53828898104794e-56,2145,eligibility/healthy_volunteers,ipd_info_type-Informed Consent Form (ICF)
Biological intervention Number,study_design_info/primary_purpose,eta,0.3296200962644175,0.0,0.0,80983,Biological intervention Number,study_design_info/primary_purpose
Drug intervention Number,number_of_arms,abs_spearman,0.3227853987512021,0.0,0.0,78123,Drug intervention Number,number_of_arms
patient_data/sharing_ipd,sponsors/lead_sponsor/agency_class,cramers_v,0.31941938584110113,0.0,0.0,13510,patient_data/sharing_ipd,sponsors/lead_sponsor/agency_class
location/facility/address/city,mortality_YN,abs_spearman,0.3182298698923259,0.0,0.0,17916,location/facility/address/city__n_items,mortality_YN
ipd_info_type-Clinical Study Report (CSR),responsible_party/responsible_party_type,eta,0.31541059865072857,2.9187255960732457e-49,1.0381342319707809e-48,2136,ipd_info_type-Clinical Study Report (CSR),responsible_party/responsible_party_type
sae_rate,study_design_info/masking,eta,0.31303866680186354,0.0,0.0,17890,study_design_info/masking,sae_rate
duration_year,sae_YN,abs_spearman,0.31255645066763194,9.814523611608333e-299,1.0827133190583795e-297,13278,duration_year,sae_YN
duration_day,sae_YN,abs_spearman,0.31255645066763194,9.814523611608333e-299,1.0827133190583795e-297,13278,duration_day,sae_YN
duration_month,sae_YN,abs_spearman,0.3122539343344227,3.945698402541201e-298,4.3253318450569954e-297,13278,duration_month,sae_YN
eligibility/healthy_volunteers,sae_YN,eta,0.30941504611442544,0.0,0.0,17914,eligibility/healthy_volunteers,sae_YN
enrollment,execution_pass,abs_spearman,0.30836600265734165,0.0,0.0,38306,enrollment,execution_pass
enrollment,execution_fail,abs_spearman,0.30836600265734165,0.0,0.0,38306,enrollment,execution_fail
condition_browse/mesh_term,duration_year,abs_spearman,0.30534861901307464,0.0,0.0,42855,condition_browse/mesh_term__is_nn,duration_year
condition_browse/mesh_term,duration_day,abs_spearman,0.30534861901307464,0.0,0.0,42855,condition_browse/mesh_term__is_nn,duration_day
condition_browse/mesh_term,duration_month,abs_spearman,0.3051719314201965,0.0,0.0,42855,condition_browse/mesh_term__is_nn,duration_month
condition_browse/mesh_term,study_design_info/primary_purpose,eta,0.30386368456666607,0.0,0.0,80983,condition_browse/mesh_term__is_nn,study_design_info/primary_purpose
enrollment,study_design_info/masking_num,abs_spearman,0.30320891799173616,0.0,0.0,44289,enrollment,study_design_info/masking_num
condition_browse/mesh_term,phase,eta,0.302079331802504,0.0,0.0,81786,condition_browse/mesh_term__is_nn,phase
eligibility/maximum_age,ipd_info_type-Informed Consent Form (ICF),abs_spearman,0.29656725038753906,1.9396266494307837e-22,5.121734503626119e-22,1034,eligibility/maximum_age__years,ipd_info_type-Informed Consent Form (ICF)
approval_outcome,start_date,abs_spearman,0.295568772044077,4.095471394180341e-186,3.279208086354075e-185,9263,start_date__days,approval_outcome
regulatory_pass,start_date,abs_spearman,0.295568772044077,4.095471394180341e-186,3.279208086354075e-185,9263,start_date__days,regulatory_pass
biology_pass,regulatory_pass,abs_spearman,0.2954673549063099,0.0,0.0,27420,biology_pass,regulatory_pass
biology_fail,regulatory_pass,abs_spearman,0.2954673549063099,0.0,0.0,27420,biology_fail,regulatory_pass
approval_outcome,biology_fail,abs_spearman,0.2954673549063098,0.0,0.0,27420,approval_outcome,biology_fail
approval_outcome,biology_pass,abs_spearman,0.2954673549063098,0.0,0.0,27420,approval_outcome,biology_pass
number_of_arms,study_design_info/masking,eta,0.29267938302324803,0.0,0.0,72860,number_of_arms,study_design_info/masking
eligibility/healthy_volunteers,study_design_info/intervention_model,cramers_v,0.29261232670934473,0.0,0.0,80743,eligibility/healthy_volunteers,study_design_info/intervention_model
dropout_rate,sae_YN,abs_spearman,0.29061030576746494,0.0,0.0,17873,dropout_rate,sae_YN
dropout_YN,sae_YN,abs_spearman,0.2895536523554362,0.0,0.0,17873,dropout_YN,sae_YN
condition_browse/mesh_term,icdcode,abs_spearman,0.28941727347128166,0.0,0.0,81786,condition_browse/mesh_term__n_items,icdcode__n_items
dropout_YN,location/facility/address/city,abs_spearman,0.2891613871949741,0.0,0.0,38302,location/facility/address/city__n_items,dropout_YN
approval_outcome,enrollment,abs_spearman,0.2878310333964533,0.0,0.0,20273,enrollment,approval_outcome
enrollment,regulatory_pass,abs_spearman,0.2878310333964533,0.0,0.0,20273,enrollment,regulatory_pass
MaskingType-Investigator,enrollment,abs_spearman,0.28717372059377244,0.0,0.0,44289,MaskingType-Investigator,enrollment
sae_YN,sponsors/lead_sponsor/agency_class,eta,0.28716498750809805,0.0,0.0,17916,sponsors/lead_sponsor/agency_class,sae_YN
duration_month,sponsors/lead_sponsor/agency_class,eta,0.2820631693456023,0.0,0.0,42855,sponsors/lead_sponsor/agency_class,duration_month
study_design_info/intervention_model,study_design_info/masking,cramers_v,0.2820622559032678,0.0,0.0,74651,study_design_info/intervention_model,study_design_info/masking
duration_year,sponsors/lead_sponsor/agency_class,eta,0.28161947161896494,0.0,0.0,42855,sponsors/lead_sponsor/agency_class,duration_year
duration_day,sponsors/lead_sponsor/agency_class,eta,0.2816194716189649,0.0,0.0,42855,sponsors/lead_sponsor/agency_class,duration_day
sae_YN,study_design_info/primary_purpose,eta,0.28003320186103436,2.01321974710423e-310,2.26405780620945e-309,17911,study_design_info/primary_purpose,sae_YN
eligibility/maximum_age,ipd_info_type-Clinical Study Report (CSR),abs_spearman,0.279825360050365,4.6879339455741263e-20,1.1978360632992713e-19,1034,eligibility/maximum_age__years,ipd_info_type-Clinical Study Report (CSR)
MaskingType-Participant,intervention/intervention_name,abs_spearman,0.27943289424014006,0.0,0.0,81170,MaskingType-Participant,intervention/intervention_name__n_items
mortality_rate,study_design_info/masking,eta,0.27881740265483573,1.2747021373108972e-297,1.3929528072815622e-296,17890,study_design_info/masking,mortality_rate
MaskingType-Participant,enrollment,abs_spearman,0.27870810318434314,0.0,0.0,44289,MaskingType-Participant,enrollment
Experimental Arm Number,phase,eta,0.2785293094558895,0.0,0.0,78123,Experimental Arm Number,phase
Active Comparator Arm Number,number_of_arms,abs_spearman,0.27802436840911865,0.0,0.0,69293,Active Comparator Arm Number,number_of_arms
MaskingType-Care Provider,number_of_arms,abs_spearman,0.27800177436812407,0.0,0.0,77947,MaskingType-Care Provider,number_of_arms
MaskingType-Outcomes Assessor,number_of_arms,abs_spearman,0.2770299758311552,0.0,0.0,77947,MaskingType-Outcomes Assessor,number_of_arms
regulatory_pass,sponsors/lead_sponsor/agency_class,eta,0.27512188978581187,0.0,0.0,24108,sponsors/lead_sponsor/agency_class,regulatory_pass
approval_outcome,sponsors/lead_sponsor/agency_class,eta,0.27512188978581187,0.0,0.0,24108,sponsors/lead_sponsor/agency_class,approval_outcome
dropout_rate,mortality_rate,abs_spearman,0.27507015486051367,1.0247647879948302e-307,1.1450346103800755e-306,17873,dropout_rate,mortality_rate
location/facility/address/city,phase,eta,0.27443123633575744,0.0,0.0,81786,location/facility/address/city__n_items,phase
MaskingType-Investigator,intervention/intervention_name,abs_spearman,0.27135896156330475,0.0,0.0,81170,MaskingType-Investigator,intervention/intervention_name__n_items
sae_rate,study_design_info/intervention_model,eta,0.2706282427613628,9.278927435057626e-293,9.982747008305031e-292,17857,study_design_info/intervention_model,sae_rate
MaskingType-Care Provider,study_design_info/allocation,eta,0.26921916477529895,0.0,0.0,61818,MaskingType-Care Provider,study_design_info/allocation
execution_fail,sae_YN,abs_spearman,0.2688998924708745,3.953310894471148e-294,4.2796745664446224e-293,17903,sae_YN,execution_fail
execution_pass,sae_YN,abs_spearman,0.2688998924708745,3.953310894471148e-294,4.2796745664446224e-293,17903,sae_YN,execution_pass
dropout_rate,location/facility/address/city,abs_spearman,0.26848237263855323,0.0,0.0,38302,location/facility/address/city__n_items,dropout_rate
MaskingType-Outcomes Assessor,study_design_info/allocation,eta,0.2682015428250736,0.0,0.0,61818,MaskingType-Outcomes Assessor,study_design_info/allocation
dropout_rate,mortality_YN,abs_spearman,0.2662886704939511,8.550073225050361e-288,9.142001371400001e-287,17873,dropout_rate,mortality_YN
intervention/intervention_name,study_design_info/masking_num,abs_spearman,0.2652131708299188,0.0,0.0,81170,intervention/intervention_name__n_items,study_design_info/masking_num
location/facility/address/city,mortality_rate,abs_spearman,0.26476075607619615,4.3946188928934195e-285,4.670122523793465e-284,17916,location/facility/address/city__n_items,mortality_rate
execution_fail,phase,eta,0.2614598068636698,0.0,0.0,52772,phase,execution_fail
execution_pass,phase,eta,0.2614598068636698,0.0,0.0,52772,phase,execution_pass
Placebo Comparator Arm Number,study_design_info/allocation,eta,0.26141596257059657,0.0,0.0,59269,Placebo Comparator Arm Number,study_design_info/allocation
oversight_info/has_dmc,sponsors/lead_sponsor/agency_class,cramers_v,0.2608507780139772,0.0,0.0,37612,oversight_info/has_dmc,sponsors/lead_sponsor/agency_class
eligibility/healthy_volunteers,sae_rate,eta,0.2606490265311274,5.093041484235535e-276,5.314810557873419e-275,17914,eligibility/healthy_volunteers,sae_rate
responsible_party/responsible_party_type,sae_YN,eta,0.260125921514745,5.346693752398624e-273,5.546197250622453e-272,17899,responsible_party/responsible_party_type,sae_YN
sae_rate,start_date,abs_spearman,0.2571793751634862,1.4332272238417123e-199,1.1886550364797016e-198,13278,start_date__days,sae_rate
duration_year,location/facility/address/city,abs_spearman,0.25619160507529715,0.0,0.0,42855,location/facility/address/city__n_items,duration_year
duration_day,location/facility/address/city,abs_spearman,0.25619160507529715,0.0,0.0,42855,location/facility/address/city__n_items,duration_day
eligibility/healthy_volunteers,mortality_YN,eta,0.2560031051480013,5.230889067767796e-266,5.330598096918795e-265,17914,eligibility/healthy_volunteers,mortality_YN
duration_month,location/facility/address/city,abs_spearman,0.2553040339024456,0.0,0.0,42855,location/facility/address/city__n_items,duration_month
eligibility/maximum_age,mortality_rate,abs_spearman,0.25276153729742623,3.179324352747693e-127,1.9416787567307965e-126,8723,eligibility/maximum_age__years,mortality_rate
dropout_rate,duration_year,abs_spearman,0.25224257944833317,5.070170475130149e-233,4.774754038232322e-232,16162,dropout_rate,duration_year
dropout_rate,duration_day,abs_spearman,0.25224257944833317,5.070170475130149e-233,4.774754038232322e-232,16162,dropout_rate,duration_day
dropout_rate,duration_month,abs_spearman,0.2519472998225265,1.834039476253532e-232,1.7203168861650856e-231,16162,dropout_rate,duration_month
dropout_YN,phase,eta,0.25190834714908955,0.0,0.0,38302,phase,dropout_YN
patient_data/sharing_ipd,sae_YN,eta,0.2508821828286865,5.103912693734171e-141,3.327597863175656e-140,9941,patient_data/sharing_ipd,sae_YN
Experimental Arm Number,study_design_info/intervention_model,eta,0.25011325050695526,0.0,0.0,77887,Experimental Arm Number,study_design_info/intervention_model
phase,study_design_info/allocation,cramers_v,0.24969575093771076,0.0,0.0,62081,phase,study_design_info/allocation
Drug intervention Number,MaskingType-Investigator,abs_spearman,0.24965038408794044,0.0,0.0,81170,Drug intervention Number,MaskingType-Investigator
enrollment,mortality_YN,abs_spearman,0.24913830218236224,3.953023161879487e-251,3.8914321494422707e-250,17881,enrollment,mortality_YN
ipd_info_type-Informed Consent Form (ICF),study_design_info/primary_purpose,eta,0.2490394722067656,1.0,1.0,2143,ipd_info_type-Informed Consent Form (ICF),study_design_info/primary_purpose
duration_month,study_design_info/intervention_model,eta,0.24901155925265636,0.0,0.0,42592,study_design_info/intervention_model,duration_month
duration_year,study_design_info/intervention_model,eta,0.24895996180137664,0.0,0.0,42592,study_design_info/intervention_model,duration_year
duration_day,study_design_info/intervention_model,eta,0.24895996180137653,0.0,0.0,42592,study_design_info/intervention_model,duration_day
patient_data/sharing_ipd,regulatory_pass,eta,0.2484163525863915,5.779079588537339e-64,2.329733360808266e-63,4575,patient_data/sharing_ipd,regulatory_pass
approval_outcome,patient_data/sharing_ipd,eta,0.2484163525863915,5.779079588537339e-64,2.329733360808266e-63,4575,patient_data/sharing_ipd,approval_outcome
Experimental Arm Number,sponsors/lead_sponsor/agency_class,eta,0.24674164285841424,0.0,0.0,69293,Experimental Arm Number,sponsors/lead_sponsor/agency_class
phase,study_design_info/intervention_model,cramers_v,0.24452587161230052,0.0,0.0,80897,phase,study_design_info/intervention_model
ipd_info_type-Informed Consent Form (ICF),location/facility/address/city,abs_spearman,0.24444868951669735,1.4884954150987551e-30,4.36868375630758e-30,2145,ipd_info_type-Informed Consent Form (ICF),location/facility/address/city__n_items
Biological intervention Number,ipd_info_type-Informed Consent Form (ICF),abs_spearman,0.2444207120520241,1.5120480841843421e-30,4.434065056996278e-30,2145,Biological intervention Number,ipd_info_type-Informed Consent Form (ICF)
ipd_info_type-Statistical Analysis Plan (SAP),ipd_info_type-Study Protocol,abs_spearman,0.24236223569922014,4.635717042010508e-32,1.3863267401881682e-31,2297,ipd_info_type-Statistical Analysis Plan (SAP),ipd_info_type-Study Protocol
