orig_a,orig_b,feat_a,feat_b,role_a,role_b,metric,effect_size,p,n_valid,p_adj
Behavioral intervention Number,phase,Behavioral intervention Number,phase,num,cat,eta,0.025085671318992708,3.8634051971709266e-11,81786,8.191173313098822e-11
Behavioral intervention Number,responsible_party/responsible_party_type,Behavioral intervention Number,responsible_party/responsible_party_type,num,cat,eta,0.07803084512599888,9.626316754667331e-91,67878,4.652496623431012e-90
Behavioral intervention Number,smiless,Behavioral intervention Number,smiless__is_nn,num,num,abs_spearman,0.025114868776837256,6.79805826581132e-13,81786,1.4960894536855184e-12
Behavioral intervention Number,smiless,Behavioral intervention Number,smiless__n_items,num,num,abs_spearman,0.029651063941106597,2.224601665613724e-17,81786,5.428715441016637e-17
Behavioral intervention Number,sponsors/lead_sponsor/agency_class,Behavioral intervention Number,sponsors/lead_sponsor/agency_class,num,cat,eta,0.12781829027121241,4.96417623459654e-254,71221,4.900713754324709e-253
Behavioral intervention Number,study_design_info/allocation,Behavioral intervention Number,study_design_info/allocation,num,cat,eta,0.03526552110948805,1.5044799560249021e-18,62081,3.750407350922909e-18
Behavioral intervention Number,study_design_info/intervention_model,Behavioral intervention Number,study_design_info/intervention_model,num,cat,eta,0.10845577362270074,6.868849228219036e-206,80897,5.807603666194928e-205
Behavioral intervention Number,study_design_info/masking,Behavioral intervention Number,study_design_info/masking,num,cat,eta,0.13227418524778972,2.632304542935058e-271,75043,2.722398299612895e-270
Behavioral intervention Number,study_design_info/masking_num,Behavioral intervention Number,study_design_info/masking_num,num,num,abs_spearman,0.004506114943539176,0.1992138226315944,81170,0.2570620251187488
Behavioral intervention Number,study_design_info/primary_purpose,Behavioral intervention Number,study_design_info/primary_purpose,num,cat,eta,0.0660461297461412,8.726963373832878e-71,80983,3.6938121466588614e-70
Behavioral intervention Number,study_type,Behavioral intervention Number,study_type,num,cat,eta,0.0,1.0,81786,1.0
Behavioral intervention Number,intervention/intervention_type,Behavioral intervention Number,intervention/intervention_type__is_nn,num,num,abs_spearman,0.002619631083366339,0.4537616634375648,81786,0.5496067551221812
Behavioral intervention Number,intervention/intervention_type,Behavioral intervention Number,intervention/intervention_type__n_items,num,num,abs_spearman,0.0014691213984186198,0.6743854911181746,81786,0.7914244971218558
Behavioral intervention Number,dropout_YN,Behavioral intervention Number,dropout_YN,num,num,abs_spearman,0.013905187219062271,0.006500357606368105,38302,0.009687544416939916
Behavioral intervention Number,dropout_rate,Behavioral intervention Number,dropout_rate,num,num,abs_spearman,0.017794228670653056,0.000496472958563626,38302,0.0007990938077853638
Behavioral intervention Number,start_date,Behavioral intervention Number,start_date__is_nn,num,num,abs_spearman,0.007477503081863516,0.03248166840603297,81786,0.04579058730667934
Behavioral intervention Number,start_date,Behavioral intervention Number,start_date__days,num,num,abs_spearman,0.007873366590356796,0.10312713523746721,42855,0.1378333826731533
Behavioral intervention Number,completion_date,Behavioral intervention Number,completion_date__is_nn,num,num,abs_spearman,0.007477503081863516,0.03248166840603297,81786,0.04579058730667934
Behavioral intervention Number,completion_date,Behavioral intervention Number,completion_date__days,num,num,abs_spearman,0.01160050419725907,0.016328757270957554,42855,0.023603340897078825
Behavioral intervention Number,duration_day,Behavioral intervention Number,duration_day,num,num,abs_spearman,0.041342591114138655,1.1099721366978334e-17,42855,2.725903303904573e-17
Behavioral intervention Number,duration_month,Behavioral intervention Number,duration_month,num,num,abs_spearman,0.04154146143484187,7.75594122613053e-18,42855,1.9114819688513186e-17
Behavioral intervention Number,duration_year,Behavioral intervention Number,duration_year,num,num,abs_spearman,0.041342591114138655,1.1099721366978334e-17,42855,2.725903303904573e-17
Behavioral intervention Number,sae_YN,Behavioral intervention Number,sae_YN,num,num,abs_spearman,0.05503533118126191,1.6860679462828317e-13,17916,3.763061087561233e-13
Behavioral intervention Number,sae_rate,Behavioral intervention Number,sae_rate,num,num,abs_spearman,0.06577778759646168,1.2148066469207932e-18,17916,3.0326530876794224e-18
Behavioral intervention Number,mortality_YN,Behavioral intervention Number,mortality_YN,num,num,abs_spearman,0.044783351978152884,2.011549212458256e-09,17916,4.038205380296037e-09
Behavioral intervention Number,mortality_rate,Behavioral intervention Number,mortality_rate,num,num,abs_spearman,0.04924120682970356,4.266667211594844e-11,17916,9.040651561153708e-11
Behavioral intervention Number,failure_reason,Behavioral intervention Number,failure_reason,num,cat,eta,0.0313437290708137,0.00013952321724621615,20769,0.0002317606022612816
Behavioral intervention Number,approval_outcome,Behavioral intervention Number,approval_outcome,num,num,abs_spearman,0.03179360088775955,2.542609183120242e-08,30683,4.908648284079356e-08
Behavioral intervention Number,execution_fail,Behavioral intervention Number,execution_fail,num,num,abs_spearman,0.016280625195008742,0.00018389579255717007,52772,0.00030343678971327917
Behavioral intervention Number,execution_pass,Behavioral intervention Number,execution_pass,num,num,abs_spearman,0.016280625195008742,0.00018389579255717007,52772,0.00030343678971327917
Behavioral intervention Number,biology_pass,Behavioral intervention Number,biology_pass,num,num,abs_spearman,0.01710767498410701,0.0015016574818099361,34427,0.0023389779243789903
